stage,workload,workers,block_mib,trial,warmup,arm,phase,process_ms,verified,hashed,cached,read_bytes,cpu_hashes,gpu_hashes,gpu_setup_ms,calibration_ms,pgo_enabled,pgo_samples,pgo_exploration_jobs,gpu_overflow_jobs,cpu_spill_jobs
real-learning,small,4,1,1,False,new-cpu,fresh,1454.8667999915779,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,1,False,new-cpu,cache,497.58960003964603,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,1,False,baseline-auto,fresh,1500.7750999648124,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
real-learning,small,4,1,1,False,baseline-auto,cache,511.4706000313163,True,0,20000,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,1,False,new-auto,fresh,1444.987899856642,True,20000,0,348672000,20000,0,0.0,0.0,1,311,0,0,0
real-learning,small,4,1,1,False,new-auto,cache,517.6725001074374,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,1,False,new-no-pgo,fresh,1428.2328998669982,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,1,False,new-no-pgo,cache,504.83999983407557,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,2,False,new-no-pgo,fresh,1450.8740999735892,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,2,False,new-no-pgo,cache,541.8173000216484,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,2,False,baseline-auto,fresh,1445.3577999956906,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
real-learning,small,4,1,2,False,baseline-auto,cache,488.68110007606447,True,0,20000,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,2,False,new-cpu,fresh,1505.7938999962062,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
real-learning,small,4,1,2,False,new-cpu,cache,509.82200005091727,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,2,False,new-auto,fresh,1411.2700000405312,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
real-learning,small,4,1,2,False,new-auto,cache,513.5353999212384,True,0,20000,0,0,0,0.0,0.0,1,0,0,0,0
real-learning,small,4,1,3,False,baseline-auto,fresh,1453.6027999129146,True,20000,0,348672000,20000,0,0.0,0.0,,,,0,0
real-learning,small,4,1,3,False,baseline-auto,cache,497.89390014484525,True,0,20000,0,0,0,0.0,0.0,,,,0,0
real-learning,small,4,1,3,False,new-no-pgo,fresh,1515.054800081998,True,20000,0,348672000,20000,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,3,False,new-no-pgo,cache,494.45090000517666,True,0,20000,0,0,0,0.0,0.0,0,0,0,0,0
real-learning,small,4,1,3,False,new-cpu,fresh,1467.0250001363456,True,20000,0,348672000,20000,0,0.0,0.0,1,310,0,0,0
